,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=779,Thomas HEURTEL,99,748
?refer=joueur&GET_CAT=1&PARAM=479,Michel HOFF,2,0
?refer=joueur&GET_CAT=1&PARAM=337,Paul HOTILLE,3,0
?refer=joueur&GET_CAT=1&PARAM=531,Michel HOUSSE,8,38
?refer=joueur&GET_CAT=1&PARAM=828,William HOWARD,9,19
?refer=joueur&GET_CAT=1&PARAM=637,Frédéric HUFNAGEL,103,604
?refer=joueur&GET_CAT=1&PARAM=518,Georges HURTEL,6,2
?refer=joueur&GET_CAT=1&PARAM=462,Marcel IBERT,7,6
?refer=joueur&GET_CAT=1&PARAM=895,Damien INGLIS,3,27
?refer=joueur&GET_CAT=1&PARAM=803,Hugo INVERNIZZI,5,26
?refer=joueur&GET_CAT=1&PARAM=746,Dounia ISSA,14,39
?refer=joueur&GET_CAT=1&PARAM=755,Edwin JACKSON,54,241
?refer=joueur&GET_CAT=1&PARAM=661,Skeeter JACKSON,41,259
?refer=joueur&GET_CAT=1&PARAM=798,Mouhammadou JAITEH,36,135
?refer=joueur&GET_CAT=1&PARAM=380,Jean JEAMMES,12,16
?refer=joueur&GET_CAT=1&PARAM=812,Livio JEAN-CHARLES,4,4
?refer=joueur&GET_CAT=1&PARAM=723,Aymeric JEANNEAU,56,151
?refer=joueur&GET_CAT=1&PARAM=757,Max JOSEPH-NOEL,7,13
?refer=joueur&GET_CAT=1&PARAM=469,Alain JOUANNIC,2,0
?refer=joueur&GET_CAT=1&PARAM=538,Jean-Marie JOUARET,36,141
?refer=joueur&GET_CAT=1&PARAM=696,Cyril JULIAN,135,841
?refer=joueur&GET_CAT=1&PARAM=804,Axel JULIEN,21,76
?refer=joueur&GET_CAT=1&PARAM=639,Benkali KABA,32,169
?refer=joueur&GET_CAT=1&PARAM=761,Charles KAHUDI,102,282
?refer=joueur&GET_CAT=1&PARAM=897,Ismaël KAMAGATE,3,15
?refer=joueur&GET_CAT=1&PARAM=388,Alexandre KATLAMA,2,23
?refer=joueur&GET_CAT=1&PARAM=439,Paul KILEDJIAN,4,0
?refer=joueur&GET_CAT=1&PARAM=741,Tariq KIRKSAY,29,229
?refer=joueur&GET_CAT=1&PARAM=453,Georges KLEIN,1,5
?refer=joueur&GET_CAT=1&PARAM=727,Alain KOFFI,47,213
?refer=joueur&GET_CAT=1&PARAM=821,Lahaou KONATE,20,55
?refer=joueur&GET_CAT=1&PARAM=813,Louis LABEYRIE,34,211
?refer=joueur&GET_CAT=1&PARAM=819,Paul LACOMBE,35,177
?refer=joueur&GET_CAT=1&PARAM=444,Pierre LACOURTE,4,0
?refer=joueur&GET_CAT=1&PARAM=329,Marcel LAFONTAINE,3,0
?refer=joueur&GET_CAT=1&PARAM=593,Jacky LAMOTHE,155,741
?refer=joueur&GET_CAT=1&PARAM=858,Nicolas LANG,11,55
?refer=joueur&GET_CAT=1&PARAM=599,Alain LARROUQUIS,73,417
?refer=joueur&GET_CAT=1&PARAM=712,Willem LAURE,6,22
?refer=joueur&GET_CAT=1&PARAM=778,Joffrey LAUVERGNE,85,698
?refer=joueur&GET_CAT=1&PARAM=666,Stéphane LAUVERGNE,21,65
?refer=joueur&GET_CAT=1&PARAM=487,Robert LAVILLE,5,10
?refer=joueur&GET_CAT=1&PARAM=546,Claude LE BER,2,0
?refer=joueur&GET_CAT=1&PARAM=488,Claude LE BIEZ,7,4
?refer=joueur&GET_CAT=1&PARAM=445,Claude LE BITOUX,9,16
?refer=joueur&GET_CAT=1&PARAM=407,Joseph LE MAUFF,2,4
?refer=joueur&GET_CAT=1&PARAM=528,Michel LE RAY,119,813
?refer=joueur&GET_CAT=1&PARAM=364,Edmond LECLERE,7,0
?refer=joueur&GET_CAT=1&PARAM=550,Daniel LEDENT,122,684
?refer=joueur&GET_CAT=1&PARAM=508,Jean-Claude LEFEBVRE,57,309
?refer=joueur&GET_CAT=1&PARAM=643,Bruno LEJEUNE,18,50
?refer=joueur&GET_CAT=1&PARAM=802,JÃ©rÃ©my LELOUP,2,5
?refer=joueur&GET_CAT=1&PARAM=542,Claude LEMPEREUR,13,32
?refer=joueur&GET_CAT=1&PARAM=367,Henri LESMAYOUX,36,248
?refer=joueur&GET_CAT=1&PARAM=556,Gérard LESPINASSE,71,394
?refer=joueur&GET_CAT=1&PARAM=817,Mathias LESSORT,28,190
?refer=joueur&GET_CAT=1&PARAM=608,André LEYDER,2,0
?refer=joueur&GET_CAT=1&PARAM=443,René LONGCHAMP,2,0
?refer=joueur&GET_CAT=1&PARAM=557,Michel LONGUEVILLE,89,442
?refer=joueur&GET_CAT=1&PARAM=498,Jean LUENT,6,18
?refer=joueur&GET_CAT=1&PARAM=852,Timothé LUWAWU-CABARROT,27,172
?refer=joueur&GET_CAT=1&PARAM=767,Abdoulaye M'BAYE,3,5
?refer=joueur&GET_CAT=1&PARAM=834,Amath M'BAYE,45,263
?refer=joueur&GET_CAT=1&PARAM=578,Bernard MAGNIN,32,170
?refer=joueur&GET_CAT=1&PARAM=756,Ian MAHINMI,32,103
?refer=joueur&GET_CAT=1&PARAM=896,Yoan MAKOUNDOU,3,22
?refer=joueur&GET_CAT=1&PARAM=838,Théo MALEDON,21,100
?refer=joueur&GET_CAT=1&PARAM=543,Claude MARC,13,8
?refer=joueur&GET_CAT=1&PARAM=446,Maurice MARCELOT,20,75
?refer=joueur&GET_CAT=1&PARAM=728,Claude MARQUIS,36,198
?refer=joueur&GET_CAT=1&PARAM=436,Robert MARSOLAT,18,76
?refer=joueur&GET_CAT=1&PARAM=390,Robert MAS,1,0
?refer=joueur&GET_CAT=1&PARAM=722,Vincent MASINGUE,30,165
?refer=joueur&GET_CAT=1&PARAM=419,Francis MATALOU,3,0
?refer=joueur&GET_CAT=1&PARAM=512,Bernard MAYEUR,90,666
?refer=joueur&GET_CAT=1&PARAM=524,Gérard MAYEUR,2,0
?refer=joueur&GET_CAT=1&PARAM=600,Gérard MAZA,2,2
?refer=joueur&GET_CAT=1&PARAM=590,François MAZIER,2,0
?refer=joueur&GET_CAT=1&PARAM=704,Franck MERIGUET,13,37
?refer=joueur&GET_CAT=1&PARAM=370,Maurice MERTZ,15,29
?refer=joueur&GET_CAT=1&PARAM=855,David MICHINEAU,5,30
?refer=joueur&GET_CAT=1&PARAM=708,Eric MICOUD,20,48
?refer=joueur&GET_CAT=1&PARAM=783,Adrien MOERMAN,12,56
?refer=joueur&GET_CAT=1&PARAM=703,Jérôme MOISO,32,194
?refer=joueur&GET_CAT=1&PARAM=623,Jacques MONCLAR,201,1004
?refer=joueur&GET_CAT=1&PARAM=447,Robert MONCLAR,142,1071
?refer=joueur&GET_CAT=1&PARAM=657,Frédéric MONETTI,33,91
?refer=joueur&GET_CAT=1&PARAM=733,Michel MORANDAIS,10,53
?refer=joueur&GET_CAT=1&PARAM=525,Daniel MOREL,1,2
?refer=joueur&GET_CAT=1&PARAM=344,Jacques MORENO,2,0
?refer=joueur&GET_CAT=1&PARAM=545,Gérard MOROZE,20,155
?refer=joueur&GET_CAT=1&PARAM=529,Antoine MUGUET,3,0
?refer=joueur&GET_CAT=1&PARAM=705,Jimmy NEBOT,14,35
?refer=joueur&GET_CAT=1&PARAM=393,Jean NICHILL,1,0
?refer=joueur&GET_CAT=1&PARAM=752,Joakim NOAH,22,185
?refer=joueur&GET_CAT=1&PARAM=499,Raymond NOTE,2,5
?refer=joueur&GET_CAT=1&PARAM=818,Amine NOUA,9,50
?refer=joueur&GET_CAT=1&PARAM=591,Gérard NOUVELLE,2,0
?refer=joueur&GET_CAT=1&PARAM=851,Frank NTILIKINA,22,131
?refer=joueur&GET_CAT=1&PARAM=658,Eric OCCANSEY,44,274
?refer=joueur&GET_CAT=1&PARAM=653,Hugues OCCANSEY,83,769
?refer=joueur&GET_CAT=1&PARAM=411,Raymond OFFNER,13,41
?refer=joueur&GET_CAT=1&PARAM=823,Elie OKOBO,25,151
?refer=joueur&GET_CAT=1&PARAM=348,Etienne ONIMUS,5,49
?refer=joueur&GET_CAT=1&PARAM=605,Firmin ONISSAH,12,43
?refer=joueur&GET_CAT=1&PARAM=654,Christian ORTEGA,2,0
?refer=joueur&GET_CAT=1&PARAM=645,Stéphane OSTROWSKI,193,2813
?refer=joueur&GET_CAT=1&PARAM=815,Yakuba OUATTARA,18,106
?refer=joueur&GET_CAT=1&PARAM=564,Jean-Marie OURY,1,2
?refer=joueur&GET_CAT=1&PARAM=495,Jacques OWEN,14,80
?refer=joueur&GET_CAT=1&PARAM=475,Pierre PALACIN,2,0
?refer=joueur&GET_CAT=1&PARAM=707,Crawford PALMER,47,305
?refer=joueur&GET_CAT=1&PARAM=559,Hubert PAPIN,9,25
?refer=joueur&GET_CAT=1&PARAM=714,Tony PARKER,181,2741
?refer=joueur&GET_CAT=1&PARAM=632,Damien PASTRES,31,98
?refer=joueur&GET_CAT=1&PARAM=454,Marc PEIRONE,6,10
